First_pokemon,Second_pokemon,Winner
344,270,270
717,440,717
509,282,282
240,22,22
401,151,401
766,418,418
282,583,583
584,239,584
683,372,372
402,285,285
55,431,431
390,465,465
2,450,450
55,284,55
522,690,522
132,185,132
491,522,522
718,430,430
266,776,776
271,381,271
424,387,424
792,162,792
197,537,537
474,770,474
122,640,640
321,67,67
503,62,503
235,673,673
512,21,512
534,565,534
492,57,57
293,589,589
10,31,31
698,449,698
568,726,726
505,542,542
597,332,597
229,199,229
408,418,418
668,406,668
320,722,320
58,54,58
763,597,597
489,761,761
406,763,406
158,758,158
405,57,405
79,607,79
101,304,101
364,32,32
559,609,559
96,438,438
640,536,536
767,16,16
225,134,225
267,729,729
67,617,67
695,201,695
93,41,93
466,747,747
139,797,797
529,605,605
31,543,31
283,176,283
549,526,549
216,214,214
550,263,550
220,593,593
325,206,206
195,47,47
328,562,562
653,290,653
648,698,648
775,152,152
445,381,381
251,49,251
512,54,54
734,214,214
757,361,361
463,544,544
524,452,524
526,624,624
642,501,642
686,653,686
299,790,299
375,430,430
698,539,539
362,289,362
424,500,424
616,43,616
267,339,339
656,370,370
591,114,591
343,407,343
100,567,567
68,441,68
128,464,128
69,229,229
638,664,638
495,648,648
465,254,465
532,411,532
290,313,313
466,591,466
38,200,200
213,303,303
728,114,728
652,242,652
778,217,778
547,565,547
187,213,213
785,64,785
191,22,22
393,439,393
219,679,679
770,189,770
218,711,711
490,396,490
482,614,614
50,768,768
721,598,598
91,471,91
131,692,131
176,650,650
732,321,732
122,310,122
361,476,476
799,400,799
343,547,547
716,799,799
673,344,344
118,75,75
691,222,691
666,526,526
500,296,296
709,592,709
304,386,386
41,595,595
478,356,478
436,13,13
599,772,772
623,298,623
679,733,679
629,354,629
268,259,259
273,208,273
673,569,673
620,451,451
313,451,313
298,293,293
624,410,410
684,476,476
580,447,580
565,708,708
250,284,250
467,423,467
5,689,5
408,47,47
573,457,457
139,688,139
327,560,327
352,426,426
724,611,724
446,5,446
638,566,638
738,225,225
1,311,311
484,661,661
465,512,512
685,238,685
355,361,361
488,794,794
548,27,548
107,678,107
513,545,513
238,258,238
434,18,434
50,309,309
781,310,781
682,137,682
330,56,56
47,137,137
331,715,715
594,705,705
745,495,745
193,754,193
163,470,163
632,224,632
125,733,125
738,18,738
273,82,273
603,252,603
174,764,764
129,273,273
76,366,366
53,786,786
364,68,68
587,418,418
747,239,747
474,671,671
316,237,316
73,20,20
310,717,717
251,306,306
151,523,523
171,413,171
77,180,180
285,44,44
729,118,729
504,588,588
370,367,367
403,386,403
67,325,67
116,210,116
91,623,623
387,384,384
604,656,656
605,716,716
619,780,780
615,331,615
302,348,302
149,567,567
327,368,368
507,189,507
10,230,230
623,102,102
163,785,163
141,51,141
253,416,253
431,558,431
336,378,336
495,6,495
754,589,589
95,717,717
155,414,155
9,258,9
548,124,124
197,342,342
757,27,27
343,719,343
237,592,592
515,606,606
466,719,466
143,227,143
334,614,614
323,695,323
415,328,328
769,713,713
330,359,359
434,251,251
79,213,79
7,754,7
602,771,771
461,142,142
326,644,326
381,252,252
244,653,244
149,274,274
387,534,534
547,677,677
204,690,690
57,460,57
108,364,108
445,767,767
125,39,125
750,527,750
505,600,600
259,432,432
758,162,162
327,770,770
320,661,320
172,350,350
342,302,342
625,81,625
487,152,152
698,471,698
644,218,644
799,272,272
671,682,682
567,272,272
49,468,468
71,147,147
383,266,383
9,713,9
432,437,432
388,123,388
408,568,568
214,755,214
162,572,572
532,130,130
392,764,392
588,696,696
642,277,642
6,743,6
680,611,611
694,586,694
108,690,690
595,173,595
423,548,423
153,429,429
21,567,567
321,7,7
747,413,747
400,799,799
79,576,576
657,332,657
194,586,194
470,760,760
691,7,7
754,723,723
188,377,377
215,669,215
637,778,778
390,553,553
347,81,347
283,63,63
761,370,370
191,575,575
595,277,277
598,424,424
492,786,786
64,713,713
640,108,108
207,388,388
126,780,126
573,297,573
435,120,435
799,669,799
53,598,598
599,483,483
429,323,429
43,546,546
137,30,137
343,621,343
773,32,32
495,162,162
391,306,306
348,321,348
58,115,58
256,768,768
172,565,172
539,638,539
792,59,792
118,770,770
439,62,62
639,588,588
759,7,7
338,128,338
747,540,540
447,568,568
111,602,602
115,129,115
638,124,124
359,94,359
778,432,432
613,40,40
754,356,754
359,398,398
9,321,9
715,176,715
247,39,39
719,670,670
599,360,599
690,135,135
503,367,503
454,278,454
189,80,80
533,58,58
413,496,413
184,305,184
675,587,587
477,23,477
228,406,406
189,289,289
312,42,42
666,751,751
227,188,227
179,772,772
43,269,269
364,800,800
220,509,220
170,349,349
432,769,432
514,751,751
507,142,142
745,181,745
411,792,792
64,521,521
372,528,528
194,687,687
169,338,169
381,57,57
1,131,131
612,659,612
481,59,59
521,22,521
448,297,448
751,252,252
675,360,675
685,759,685
208,404,404
298,165,165
405,13,13
496,753,496
22,640,22
464,434,464
105,261,261
185,469,469
211,538,538
287,329,287
642,674,674
578,593,593
68,393,393
489,602,602
604,787,787
769,210,769
239,589,589
794,299,794
718,760,718
255,431,431
314,533,314
537,783,537
128,795,795
690,721,690
559,300,300
227,98,227
388,165,165
13,760,13
266,692,692
386,636,636
300,536,536
136,494,494
9,557,557
781,743,781
263,391,263
407,380,380
76,277,277
187,465,465
4,774,4
245,309,245
459,665,665
249,797,249
384,293,384
240,594,240
227,406,227
558,783,783
166,382,166
646,672,646
592,609,592
530,173,530
641,555,555
760,764,760
426,36,426
503,569,503
785,438,438
719,535,535
233,445,233
319,106,106
611,241,611
676,3,3
181,608,608
474,609,474
289,361,361
349,22,349
713,784,713
602,88,602
259,501,501
723,482,723
394,703,394
762,250,250
409,725,409
127,352,127
249,31,249
389,491,491
280,527,280
107,166,166
299,32,32
175,462,175
296,100,100
348,243,348
231,94,94
733,401,401
599,253,253
577,670,670
259,470,259
191,685,685
755,491,755
310,188,310
259,414,414
211,773,773
113,753,113
73,7,7
346,794,794
201,586,201
408,208,408
756,430,430
346,192,192
323,233,233
668,239,239
114,314,314
280,282,280
551,631,551
439,522,522
698,98,698
724,169,724
203,423,423
651,781,781
647,277,647
646,232,232
16,785,785
494,153,494
71,94,71
607,579,607
229,234,229
697,247,697
265,566,265
332,682,682
756,18,756
156,44,156
306,426,426
68,245,245
468,551,551
387,672,387
736,344,344
285,489,285
636,415,415
188,323,323
333,733,333
457,337,337
441,228,228
340,311,311
202,382,382
293,687,687
606,684,606
321,70,70
501,370,370
741,289,741
488,505,505
369,532,532
591,420,420
149,615,615
593,578,593
13,547,547
191,503,503
576,227,576
349,71,71
528,175,528
681,504,681
127,414,414
15,543,543
133,427,427
194,380,380
661,709,709
356,2,356
390,721,721
117,228,228
473,377,377
194,427,427
753,111,111
486,272,272
259,486,259
745,43,745
198,280,280
643,770,643
709,194,709
63,620,63
133,762,133
151,540,540
416,291,291
719,55,55
180,325,180
294,371,371
567,634,634
132,353,132
25,145,25
8,548,8
207,151,151
418,47,418
210,361,361
324,446,446
734,297,297
445,336,336
422,82,422
37,786,786
554,42,554
28,7,7
501,358,358
649,470,649
765,65,65
56,656,656
148,423,423
607,374,607
305,140,305
780,624,780
753,281,281
731,763,731
434,627,434
761,800,800
318,465,465
347,589,589
359,320,320
667,458,458
568,574,574
491,374,374
790,615,615
578,295,295
342,788,342
64,153,153
189,448,448
88,251,251
640,758,758
512,242,512
567,406,406
799,558,799
777,352,777
350,215,350
724,507,724
654,671,671
639,293,293
542,760,542
308,754,754
276,775,276
232,23,23
790,565,565
614,662,614
550,128,550
755,564,755
586,616,616
435,634,634
643,401,643
767,736,736
297,129,129
380,404,380
607,5,607
118,617,617
177,134,134
237,369,369
57,41,57
112,620,112
689,505,505
769,697,697
511,73,511
256,772,772
150,253,253
693,401,401
111,223,223
762,660,762
297,739,739
757,577,757
669,424,424
324,499,499
540,307,540
579,791,791
140,27,140
57,749,749
521,600,521
743,60,60
345,779,345
525,19,525
659,298,298
258,171,171
308,29,308
157,131,131
517,753,517
420,792,792
629,354,629
318,653,653
261,367,261
459,278,278
549,256,549
636,94,94
586,590,590
381,673,673
534,268,534
609,383,383
30,698,30
793,621,793
92,481,481
52,766,766
374,189,374
3,282,3
699,48,699
448,336,336
575,551,551
428,393,428
694,486,694
332,11,11
206,800,206
645,620,645
420,220,420
214,649,649
164,431,164
588,538,588
329,160,160
168,705,705
450,56,56
129,665,129
163,123,163
458,794,794
727,4,727
724,401,724
205,796,205
458,197,197
421,112,421
639,355,355
410,203,410
16,252,16
279,348,279
361,171,171
97,8,8
19,522,522
15,488,488
800,757,800
561,8,8
759,105,759
344,329,344
671,511,671
595,314,314
309,411,309
337,72,72
424,31,31
687,558,687
5,751,751
721,674,674
701,553,553
268,477,477
339,89,339
389,287,287
179,597,179
490,147,147
695,75,75
38,286,286
576,467,467
577,594,594
448,159,159
264,521,264
798,341,341
247,653,247
646,377,646
435,771,771
800,578,800
288,779,779
137,353,137
63,780,780
531,186,531
787,632,787
543,604,543
319,506,319
101,506,101
140,40,40
76,214,214
128,304,128
705,720,705
620,311,311
625,681,681
1,285,1
603,627,603
360,117,117
49,101,101
241,198,198
695,586,695
621,320,320
290,392,392
93,360,93
565,208,565
140,568,568
157,621,157
133,279,133
701,500,701
34,365,34
684,292,292
267,344,344
251,91,91
280,168,280
621,592,592
167,230,230
540,768,540
550,264,550
472,483,472
121,670,121
739,127,127
126,289,126
701,138,701
70,434,434
795,750,795
597,442,442
422,403,422
328,74,74
220,561,561
391,330,391
589,125,125
97,58,97
549,18,549
346,414,414
336,232,232
349,799,349
9,592,9
532,701,532
738,35,738
780,338,338
241,124,124
43,463,463
286,721,286
420,434,420
724,392,724
77,294,77
302,297,297
460,713,713
610,407,610
674,140,674
550,513,513
1,6,6
235,372,372
456,309,309
49,410,410
674,7,7
522,105,522
21,221,21
616,99,616
170,189,170
380,547,547
79,287,79
108,417,108
549,707,549
744,219,744
405,676,405
313,64,313
599,554,554
495,135,135
588,744,588
265,506,265
659,131,659
703,358,703
683,450,450
565,4,4
130,65,65
573,72,72
449,438,438
167,451,451
204,554,554
185,428,428
367,175,367
156,493,493
673,390,673
769,264,264
187,760,760
128,163,163
395,371,371
492,261,261
708,203,708
598,526,526
643,270,270
9,632,9
451,472,472
641,485,641
368,274,274
201,155,155
139,168,139
683,237,683
277,213,213
195,218,195
223,578,223
657,188,657
661,429,429
779,49,779
504,239,239
749,797,797
604,275,275
268,707,707
767,571,571
741,88,741
128,376,128
786,727,727
784,39,39
536,154,154
683,154,154
464,131,131
417,458,417
299,410,410
333,57,57
103,223,103
684,172,172
589,269,269
141,95,141
440,328,328
393,102,102
61,4,61
788,42,42
765,49,765
601,735,735
239,245,245
470,314,314
17,474,474
335,126,126
625,68,68
507,29,507
541,349,349
119,329,329
583,100,583
340,226,340
700,160,700
50,134,134
456,621,621
158,342,158
659,193,193
557,19,557
386,644,386
392,717,717
558,1,1
212,77,212
270,135,270
104,687,687
170,443,443
465,450,465
752,67,67
776,286,286
445,441,441
711,240,711
682,352,682
354,252,252
766,697,766
688,593,688
448,412,448
79,461,461
208,452,452
282,463,463
634,348,634
543,323,543
500,352,352
92,348,92
411,413,413
336,127,127
385,691,691
383,640,383
101,256,101
222,538,538
363,242,242
153,652,153
529,505,505
560,502,502
318,748,748
622,81,622
582,483,582
182,45,182
24,123,24
316,794,316
609,747,747
89,148,148
562,130,130
154,74,154
268,501,268
599,114,114
546,333,546
792,8,792
37,640,37
155,654,155
226,355,226
265,624,265
726,14,726
584,220,220
519,7,7
490,628,490
723,632,723
167,170,170
334,486,334
408,471,408
738,148,148
285,653,285
706,384,706
463,574,574
422,60,422
619,40,40
454,727,727
620,612,612
59,528,59
566,34,34
748,791,748
277,300,300
559,29,29
732,643,732
263,148,263
241,208,241
444,478,478
557,357,557
537,392,537
295,358,358
63,714,714
127,392,127
253,372,372
172,652,172
173,23,23
457,765,765
731,512,731
16,612,16
334,428,428
386,5,5
406,43,406
163,226,163
170,477,477
642,414,414
789,726,726
80,373,80
542,753,542
751,796,751
636,290,636
578,434,434
164,29,164
134,784,134
800,775,800
420,309,420
596,329,596
57,730,57
143,688,143
60,780,780
216,45,45
308,683,308
658,437,658
326,282,326
453,174,453
499,402,499
582,317,317
800,132,132
285,707,707
1,391,391
373,410,410
754,615,615
248,506,248
696,325,696
758,749,758
766,518,766
475,468,475
759,492,759
375,737,737
174,690,690
125,324,125
773,223,223
103,381,103
404,69,404
146,770,146
608,733,608
112,48,48
457,32,32
243,494,494
738,669,738
631,757,631
63,391,63
461,263,263
745,241,745
442,71,71
733,650,650
391,186,186
475,470,475
571,721,721
1,684,1
694,631,694
661,628,628
427,153,427
726,48,726
595,572,572
643,345,643
94,84,84
616,67,616
784,123,123
557,102,557
540,310,540
767,636,767
292,534,534
426,60,426
249,319,249
717,269,717
245,45,245
129,319,129
564,480,480
510,162,162
436,495,495
67,298,67
96,158,158
588,116,588
305,774,774
667,645,645
193,67,193
319,480,480
18,599,599
694,179,694
346,136,136
294,292,294
195,54,54
706,713,706
45,762,45
175,429,429
152,371,371
731,345,731
695,476,476
505,303,505
604,130,130
211,774,774
203,130,130
103,344,103
82,483,483
189,679,679
249,600,249
612,593,612
86,517,517
387,714,714
604,269,269
411,161,161
55,230,230
616,353,616
564,393,393
336,595,336
287,26,26
103,665,103
367,195,367
8,257,8
403,548,548
179,567,179
289,440,440
84,334,84
316,425,316
356,574,574
521,746,521
384,765,765
625,29,29
487,414,414
669,40,40
91,652,91
413,637,413
288,601,288
430,141,430
26,691,26
502,38,502
211,352,352
654,189,654
158,666,158
206,774,206
448,210,448
135,562,135
377,120,377
224,395,224
768,55,55
614,705,614
433,780,780
123,521,521
775,37,37
254,532,532
535,391,535
344,416,344
699,800,800
600,141,600
243,288,288
17,707,707
157,675,157
420,718,420
691,206,206
623,668,623
83,775,83
179,21,179
607,168,607
677,344,677
612,731,731
658,283,283
25,253,25
15,390,15
503,734,503
313,728,313
460,704,704
49,137,137
388,181,181
497,98,497
379,254,254
170,60,170
589,127,127
137,660,137
700,283,700
748,106,748
776,525,525
750,403,403
65,644,65
607,145,607
506,8,8
578,201,201
530,451,451
627,626,627
482,6,6
774,710,710
261,526,261
545,799,545
780,442,442
152,173,152
382,387,387
124,667,124
696,92,92
216,431,431
428,713,428
398,283,398
343,733,343
184,679,679
679,748,679
773,514,773
438,294,438
700,509,700
330,735,735
495,603,603
261,24,24
190,77,77
36,317,317
242,22,22
388,64,388
176,461,461
324,201,201
361,348,361
456,727,727
587,25,25
32,532,532
1,219,219
68,674,674
392,165,165
657,132,132
129,375,129
124,3,124
494,468,494
780,82,780
84,277,84
795,369,795
64,282,64
721,417,721
82,464,464
639,721,721
755,1,755
537,525,537
175,52,175
176,64,64
576,476,476
692,211,692
503,106,503
211,737,211
172,204,172
180,306,306
154,444,154
572,211,572
234,128,234
313,396,313
397,334,397
426,165,165
305,215,305
799,759,799
422,243,422
718,583,583
646,654,654
314,2,314
312,56,312
307,49,307
298,759,298
140,685,685
238,121,121
366,13,366
447,450,450
376,565,565
758,252,758
187,708,708
794,278,794
691,672,691
135,208,135
180,631,631
686,538,686
516,488,516
323,606,606
216,3,216
318,109,318
780,629,629
133,489,133
559,229,229
272,106,272
768,43,768
208,254,254
1,115,115
261,420,420
792,661,792
517,327,327
147,143,147
168,100,100
359,93,93
307,70,70
107,241,107
173,696,696
414,714,414
356,206,206
107,773,773
160,641,160
763,490,490
200,639,200
211,304,304
665,708,708
664,623,623
180,335,335
129,443,443
426,311,426
202,349,349
224,21,21
166,499,499
211,311,311
539,271,271
657,527,527
525,662,525
300,62,300
562,91,91
555,308,308
314,251,314
717,21,717
375,107,375
154,684,154
659,309,309
229,83,229
17,164,164
97,342,97
196,765,765
223,27,223
273,636,273
38,462,462
23,493,23
515,279,279
703,188,703
724,524,724
61,70,70
121,787,787
247,159,159
256,340,340
92,594,92
723,288,288
489,436,436
525,197,525
119,82,119
180,531,531
279,170,279
613,567,613
541,233,541
758,703,703
295,406,406
242,136,136
668,657,657
220,258,220
473,490,490
406,583,583
159,264,264
675,412,412
363,159,159
377,690,690
464,762,762
142,83,142
408,152,152
73,202,202
746,245,245
787,707,707
428,598,428
286,307,286
572,382,572
520,129,520
386,54,54
135,783,135
345,644,345
307,251,307
119,165,165
729,306,306
597,477,477
576,532,532
665,771,771
88,727,727
674,400,674
156,549,549
25,318,25
545,607,607
136,128,136
186,656,186
246,684,246
256,85,85
611,522,611
672,789,672
197,714,714
703,727,727
512,87,87
374,26,26
30,42,30
708,74,708
603,110,110
592,610,610
216,53,216
663,443,663
51,224,51
125,407,125
708,577,708
521,401,521
642,279,279
552,48,552
105,515,515
529,697,697
325,355,355
578,638,638
699,170,699
705,528,705
349,158,158
657,603,603
352,354,352
316,377,316
593,221,221
453,159,159
629,433,629
573,89,573
690,544,544
181,365,181
418,19,418
582,693,582
547,260,547
341,754,341
19,277,19
456,548,548
328,86,328
329,226,329
741,129,129
82,487,82
443,367,367
624,41,41
18,785,785
769,180,180
638,373,638
225,665,665
341,446,341
561,707,707
354,361,361
466,246,466
732,495,732
432,163,432
584,319,319
235,490,490
393,657,393
154,248,154
312,30,30
140,47,47
624,610,610
708,211,211
196,649,649
486,209,209
407,428,428
92,327,92
3,438,438
453,411,453
371,63,63
401,136,136
233,705,705
753,105,105
163,769,163
11,487,11
794,503,794
62,243,62
266,247,247
710,495,710
6,306,306
646,131,131
232,747,747
756,571,756
99,381,99
571,388,388
128,331,128
299,22,299
541,573,541
192,466,466
716,49,716
620,594,620
61,641,61
757,162,162
333,579,333
686,697,697
430,433,430
52,639,52
662,92,92
561,361,361
377,783,377
307,86,307
560,544,544
61,393,61
436,432,432
789,44,44
751,411,751
60,107,60
134,769,134
200,589,589
710,231,710
524,252,524
295,780,780
208,15,15
85,497,85
608,308,608
541,10,541
284,293,284
314,533,314
389,202,202
561,298,298
465,774,465
397,709,709
199,489,199
147,689,147
100,424,424
464,305,305
713,694,694
58,714,714
733,335,335
218,418,418
705,454,705
163,461,163
539,588,588
704,442,704
241,130,130
519,133,133
711,471,711
242,506,242
147,630,147
212,348,212
102,455,102
425,514,425
57,62,57
356,509,356
597,416,597
73,141,141
438,455,438
99,157,157
158,92,158
420,122,420
77,524,524
545,551,551
644,103,103
693,435,693
566,596,596
477,104,477
17,123,123
625,646,646
169,118,169
210,629,629
737,61,737
154,362,154
246,749,246
760,623,623
94,729,729
134,242,134
47,344,344
409,252,409
727,407,727
580,314,314
713,40,713
280,16,280
418,307,418
334,267,267
265,312,265
478,471,478
276,699,276
734,507,507
285,792,792
616,459,616
231,284,284
457,369,369
365,36,36
371,691,371
182,779,779
349,464,349
498,34,498
523,519,519
550,318,550
113,604,604
317,2,2
635,381,635
540,213,213
222,13,13
786,519,786
155,716,155
380,399,380
278,286,286
306,367,367
555,497,555
602,329,329
81,521,521
367,518,518
450,486,450
548,147,147
37,662,662
584,737,584
290,246,246
324,97,97
592,366,366
364,466,466
63,428,428
269,677,269
171,257,171
753,142,142
83,683,683
379,577,379
484,672,484
44,501,44
563,437,437
31,6,31
156,13,13
177,155,155
757,443,443
421,792,792
115,346,115
697,373,697
21,440,21
137,611,611
606,438,606
786,569,786
74,36,36
712,74,712
590,355,590
709,89,709
716,673,716
316,278,316
429,502,429
577,407,407
2,348,348
735,638,735
71,222,71
169,336,336
164,210,164
155,748,155
592,344,344
60,270,270
165,566,165
417,396,396
14,747,747
299,73,299
704,446,704
716,232,716
297,492,492
296,412,296
690,242,690
267,639,267
169,290,169
409,194,409
467,152,467
790,346,346
111,591,591
643,565,643
672,719,672
71,39,71
125,379,125
762,20,20
212,453,212
215,695,695
689,747,747
84,242,84
25,275,275
617,152,152
258,149,258
235,95,95
376,663,663
751,504,751
584,495,495
474,431,431
229,699,699
41,176,41
160,746,746
506,192,192
604,87,87
354,271,271
542,551,551
643,311,643
600,214,214
429,542,429
681,243,681
380,659,380
507,434,434
552,656,552
648,701,701
158,238,158
346,467,467
654,401,401
541,501,541
594,361,361
286,147,147
131,722,131
285,380,380
760,554,554
96,431,431
577,303,303
706,702,702
620,141,141
528,507,528
683,86,683
520,47,520
637,548,548
499,154,154
18,187,187
669,783,783
688,490,490
53,441,441
186,708,708
557,31,557
192,133,133
708,4,708
223,747,747
579,193,193
87,262,87
179,294,179
81,594,594
651,603,651
717,398,717
632,454,632
331,206,206
574,586,586
27,499,499
457,453,457
128,14,128
673,683,673
168,447,168
592,110,110
215,767,767
291,648,648
20,460,20
594,196,196
481,309,481
108,83,108
476,331,476
737,168,737
49,240,240
150,456,150
549,499,499
463,97,97
11,64,64
382,394,394
166,666,166
357,447,357
709,20,20
259,286,259
500,270,270
101,276,276
534,19,534
766,539,766
743,288,288
697,255,697
154,176,154
244,17,244
750,585,585
375,238,375
751,757,751
373,67,67
317,25,25
715,680,715
758,245,758
774,157,157
386,515,515
646,336,336
725,309,725
255,690,690
399,599,599
4,514,514
372,275,275
494,280,494
659,743,743
87,55,55
219,352,219
422,381,422
425,60,425
701,667,701
633,718,633
125,388,388
643,218,643
751,98,98
270,99,270
551,250,551
642,306,306
177,128,177
621,261,261
30,587,30
263,80,263
628,385,628
557,31,557
335,134,134
31,117,31
482,710,710
334,522,522
352,179,179
45,205,205
60,626,60
260,408,260
612,562,612
358,533,533
374,20,20
1,493,493
373,79,79
615,441,441
734,169,169
166,583,583
75,28,28
24,544,24
359,715,715
69,105,105
242,233,233
83,660,83
664,696,664
409,206,409
654,364,364
211,774,774
769,531,531
792,471,792
239,338,338
351,673,673
27,57,57
388,382,382
691,443,443
669,542,542
198,84,84
444,498,444
108,7,7
198,527,527
427,458,427
115,343,115
691,541,541
577,770,770
598,50,598
99,740,740
505,794,794
601,773,773
56,579,56
437,49,437
772,226,772
103,567,567
4,622,4
416,470,416
286,56,56
427,320,427
141,480,480
669,194,194
7,80,80
791,512,512
539,37,539
703,799,703
171,763,171
134,99,134
659,716,716
742,482,742
627,131,627
372,368,368
591,688,688
219,87,219
53,374,374
14,503,503
746,313,313
488,687,687
659,291,291
680,179,179
42,553,553
321,127,127
335,330,335
414,621,414
729,693,729
488,47,488
386,207,386
251,378,251
83,693,693
156,32,156
737,179,737
740,452,740
522,216,522
410,646,410
504,514,514
528,701,528
170,528,528
243,109,243
785,741,785
615,706,706
558,133,133
319,792,792
780,318,318
529,648,648
28,684,28
764,321,764
250,213,250
399,295,295
386,303,303
326,526,526
256,474,474
544,632,544
412,283,283
478,705,705
118,134,134
146,660,660
94,667,94
463,233,233
278,300,300
589,654,654
163,94,163
568,464,568
562,520,520
395,39,39
324,223,223
